Day,Grid,Range,Trades,Wins,Max,Min,Total
1,10,5,356,334,0.005414133303841521,0.003981023923991202,1.479769743705431
1,10,10,356,270,0.004972766591360963,0.003963471482168985,1.443553161924842
1,10,15,356,229,0.004681921003516007,0.003942979656946897,1.4345203860300837
1,10,20,356,199,0.004711891003516008,0.003922432335842415,1.429516132170757
1,20,5,356,354,0.005458773668770579,0.003994804913893087,1.504029011657939
1,20,10,356,334,0.005074755953393762,0.003981023923991202,1.4552286534352228
1,20,15,356,296,0.0046744285035160045,0.003970768973163934,1.4413264599194082
1,20,20,356,243,0.004701901003516007,0.003963471482168985,1.4344395415753697
1,30,5,356,355,0.0054734682118633875,0.003994804913893087,1.5174704563264187
1,30,10,356,349,0.005034063077933041,0.00398922645685687,1.4620037856690893
1,30,15,356,334,0.004727301516760386,0.003981023923991202,1.445859395314097
1,30,20,356,284,0.0046985710035160055,0.003974116614791717,1.4378891915838703
1,40,5,356,356,0.005480829792322451,0.004029268529560488,1.5261221418045268
1,40,10,356,354,0.005118757634410161,0.003994804913893087,1.467398606931579
1,40,15,356,345,0.00470852772366758,0.00398922645685687,1.4491362884234118
1,40,20,356,318,0.004726748231103684,0.003981023923991202,1.4406169523604389
1,50,5,356,356,0.005464504941756391,0.004029656212360179,1.5318902837708848
1,50,10,356,354,0.005085594852930448,0.003994804913893087,1.4714075141856997
1,50,15,356,352,0.004697152100681768,0.00398922645685687,1.4515851386474157
1,50,20,356,334,0.004719780785586152,0.003984891418352228,1.4426444933361027
1,60,5,356,356,0.005488181833506406,0.004032612404560491,1.536604987771469
1,60,10,356,355,0.005133332072140522,0.003994804913893087,1.4745049609534806
1,60,15,356,354,0.0047566359707713205,0.003994804913893087,1.4539431095191213
1,60,20,356,341,0.004715135821907789,0.00398922645685687,1.4438672602859053
1,70,5,356,356,0.0054754607404839456,0.0040392508841523254,1.5400203302392634
1,70,10,356,356,0.005124861107723159,0.0040040777883846735,1.476398465820271
1,70,15,356,354,0.004741699082317646,0.003994804913893087,1.455677431818304
1,70,20,356,346,0.004711817990708965,0.00398922645685687,1.445576417712388
1,80,5,356,356,0.005478925448572427,0.004041662373310488,1.5430678982908275
1,80,10,356,356,0.005140626445462014,0.0040140962170604885,1.4786349917482424
1,80,15,356,355,0.0047456391277453745,0.003994804913893087,1.4569120710261882
1,80,20,356,349,0.004724196694809622,0.003994804913893087,1.4469009900951864
2,10,5,355,351,0.006124882167945291,0.0039902524780298775,1.5221141996925145
2,10,10,355,317,0.005059257613072171,0.0039638319929160845,1.4593169447111365
2,10,15,355,269,0.004740915807663059,0.003944395785207063,1.4413267265923004
2,10,20,355,232,0.004770885807663059,0.003921298936009487,1.433167176941174
2,20,5,355,355,0.006483368147671472,0.004042091712124501,1.566577371826763
2,20,10,355,351,0.005374380595694613,0.0039902524780298775,1.4802197796163516
2,20,15,355,337,0.004792223232278553,0.00397532756564691,1.4550480567163229
2,20,20,355,295,0.004820195232278554,0.0039638319929160845,1.4423052261124696
2,30,5,355,355,0.006603307474246867,0.004033247145746739,1.5918703927445361
2,30,10,355,354,0.005439412925166268,0.00399887744711787,1.4938912568174514
2,30,15,355,350,0.0048898847517935985,0.0039902524780298775,1.4632138514866786
2,30,20,355,330,0.0047966547574067216,0.00397532756564691,1.4487957940564868
2,40,5,355,355,0.006662611137534557,0.004101944918004478,1.607917227277427
2,40,10,355,355,0.005575305084109573,0.004024737971089522,1.5040189918315165
2,40,15,355,354,0.004957655715665112,0.00399887744711787,1.4697593944689133
2,40,20,355,346,0.004819120407896765,0.0039902524780298775,1.4535536779773244
2,50,5,355,355,0.0067004577355071855,0.0041146360234310345,1.6190697878919988
2,50,10,355,355,0.005636831180634063,0.00401916635856887,1.5115353134291438
2,50,15,355,354,0.0049788389138666934,0.00399887744711787,1.4748130895066918
2,50,20,355,352,0.0048356435830870965,0.003996600722320864,1.4573998529650602
2,60,5,355,355,0.006722525300822258,0.004122934656014543,1.6275003448480083
2,60,10,355,355,0.005642501913581226,0.004016062296432305,1.5178285694660862
2,60,15,355,355,0.005023834410736906,0.004016117796432305,1.4792769229430003
2,60,20,355,354,0.004812203232278553,0.00399887744711787,1.4603953264860405
2,70,5,355,355,0.006740612051557506,0.004131700793004435,1.6337546924106605
2,70,10,355,355,0.005663617456695556,0.004013593726122079,1.5216611783781755
2,70,15,355,355,0.005044179357181775,0.004013634501632283,1.4825143822131024
2,70,20,355,354,0.004820728053645381,0.00399887744711787,1.463422225399675
2,80,5,355,355,0.0067392065706901386,0.004124914009388557,1.6397577585058911
2,80,10,355,355,0.005687856827592963,0.004050411182561175,1.5261449868358168
2,80,15,355,355,0.005073700014598615,0.004011776490353697,1.4853487932448004
2,80,20,355,355,0.004845579932062884,0.004008508401992893,1.4659690008416384
5,10,5,352,352,0.006311952648861024,0.00404327250153287,1.6196575963427655
5,10,10,352,341,0.005455023447940998,0.003973434827345055,1.5005752442827076
5,10,15,352,325,0.004986814230084785,0.003942576112106467,1.4621078965072642
5,10,20,352,280,0.004872356735275948,0.003921116521586544,1.4441084882275272
5,20,5,352,352,0.00695473717713264,0.004117411285277911,1.7066184360606198
5,20,10,352,352,0.005905218357923462,0.004045185314224478,1.545647105708851
5,20,15,352,348,0.005213115831623639,0.003978033688094372,1.4916817581548258
5,20,20,352,333,0.004951001752701703,0.003973434827345055,1.4659894221974732
5,30,5,352,352,0.007202304235158404,0.004125287707173239,1.7592123243475644
5,30,10,352,352,0.005953461333710136,0.004059100115924945,1.5764789947904125
5,30,15,352,352,0.005499767314246078,0.004027939514798613,1.5115105600750613
5,30,20,352,348,0.004972329149206032,0.003978033688094372,1.4803803242526385
5,40,5,352,352,0.0073000664895496534,0.004129184293120904,1.7928539442532898
5,40,10,352,352,0.006247470587649642,0.004119841213046604,1.597958862900886
5,40,15,352,352,0.005637473680557303,0.004050123440469414,1.5264996630186105
5,40,20,352,352,0.005165953801096168,0.004018715919615657,1.4923351279167816
5,50,5,352,352,0.007352812265046952,0.0041368674778267,1.8170077490206866
5,50,10,352,352,0.006327448360225389,0.004109188101467851,1.6160854193782783
5,50,15,352,352,0.005758584098027026,0.004070806693945986,1.5383559969441194
5,50,20,352,352,0.005221043358145672,0.004024010056217582,1.5008131586390494
5,60,5,352,352,0.00745648905869603,0.004133275129068569,1.835054817315159
5,60,10,352,352,0.006360777664225036,0.0041822058335566755,1.6301385638406223
5,60,15,352,352,0.005824120793972261,0.004089900277745459,1.5484596914945068
5,60,20,352,352,0.005245006618461159,0.004030360217696805,1.5088241900685002
5,70,5,352,352,0.0075321677376446496,0.0041386333599475345,1.849597329843541
5,70,10,352,352,0.00638647556513666,0.004201129670574143,1.640491365710801
5,70,15,352,352,0.005831358681313588,0.004085029914772259,1.5569407096565635
5,70,20,352,352,0.005383832833687942,0.004052792466452411,1.5160856262985158
5,80,5,352,352,0.00753136902524615,0.004131846576331657,1.8620471091442472
5,80,10,352,352,0.0064169733275126935,0.004220623263093812,1.649845706810907
5,80,15,352,352,0.00589513847712784,0.004127191712489275,1.5637927387509098
5,80,20,352,352,0.005418311410166714,0.00405270402405338,1.5214062296321038
10,10,5,347,346,0.008210728121412566,0.0039837837894310954,1.7351308828905572
10,10,10,347,346,0.0065957179709356505,0.0039837837894310954,1.5558010037506205
10,10,15,347,345,0.0057054260346188395,0.003973148679867485,1.493151575208267
10,10,20,347,314,0.0052152750851708184,0.003919256849017982,1.4619841251898218
10,20,5,347,347,0.009527070549006072,0.0041064283312469965,1.873163872855244
10,20,10,347,346,0.007370249059138414,0.0039837837894310954,1.6351277652488838
10,20,15,347,347,0.006385674774707558,0.004035415979120035,1.5467651764794799
10,20,20,347,347,0.005688130723543728,0.004008314688335914,1.5000732139388486
10,30,5,347,347,0.01011323201714721,0.004141022787435218,1.9555154735730327
10,30,10,347,347,0.00777639226982621,0.004060632161040991,1.6883602315813118
10,30,15,347,347,0.006844628819476005,0.004104180532650885,1.581806684199822
10,30,20,347,347,0.005944593679261258,0.0040255327702184394,1.5278934608664212
10,40,5,347,347,0.010273513008458367,0.004158444890529333,2.011361704392212
10,40,10,347,347,0.008110737415184891,0.004095310096845941,1.7273225961111924
10,40,15,347,347,0.006977967503831116,0.004144110298397764,1.609847739110993
10,40,20,347,347,0.006206357066713252,0.004064710608181185,1.5499208848087376
10,50,5,347,347,0.010434371199769657,0.004213848059811665,2.0503949063764426
10,50,10,347,347,0.008142968169619107,0.004093621786845941,1.7576278739841484
10,50,15,347,347,0.007199956528255683,0.004174464137564794,1.63216201316496
10,50,20,347,347,0.006315476855347156,0.004105343443509194,1.5659457325222643
10,60,5,347,347,0.010611359823448747,0.004177004743623445,2.080802794816191
10,60,10,347,347,0.008232777429885353,0.004130709532650886,1.782453200267592
10,60,15,347,347,0.007287644850854008,0.004179846004296755,1.650656125228667
10,60,20,347,347,0.006344967044572016,0.004103848674750462,1.581203958474964
10,70,5,347,347,0.010618127581676413,0.004196924779812631,2.1044422858018463
10,70,10,347,347,0.008365783250900347,0.004155711114348297,1.8022559822513446
10,70,15,347,347,0.00740841945873255,0.004231602418841373,1.666161345520013
10,70,20,347,347,0.006440030762095152,0.004134952390753833,1.5949500496803917
10,80,5,347,347,0.010658854956210464,0.004199174341241084,2.124640453227043
10,80,10,347,347,0.00843359928022752,0.00416236044523022,1.8187817505333166
10,80,15,347,347,0.007414455372636634,0.004283040312602484,1.6789405315766472
10,80,20,347,347,0.006515205404529963,0.004112925878436617,1.6056694266443285
15,10,5,342,340,0.009174031734885211,0.0038870037389101306,1.8147185425947563
15,10,10,342,340,0.007167635028992016,0.0038326053944586743,1.5994032964385876
15,10,15,342,340,0.006262634708873727,0.003924285399494292,1.5208983145829766
15,10,20,342,324,0.0056175576383139785,0.003924285399494292,1.4765242114363475
15,20,5,342,341,0.010974563637489547,0.003969883901327933,1.9912974363232039
15,20,10,342,341,0.008195662813703585,0.0038870037389101306,1.7086241955275512
15,20,15,342,340,0.007287785487009002,0.003922786899494292,1.5980054820116965
15,20,20,342,340,0.006222770277694205,0.0039621334020121,1.5311850422201423
15,30,5,342,342,0.011620177602375374,0.004025231851450841,2.093842248346737
15,30,10,342,341,0.008679848128627154,0.003963852110520026,1.7811313261389272
15,30,15,342,342,0.00781267183017853,0.0040074004821299206,1.6474117375939399
15,30,20,342,342,0.006658795360428056,0.00404208540620845,1.571540993944735
15,40,5,342,342,0.01197021045890867,0.004078276551573752,2.1674043632603817
15,40,10,342,341,0.009130149356114814,0.003998530046324976,1.8361765487379575
15,40,15,342,342,0.008083397831559905,0.004051268214386108,1.6883783118129414
15,40,20,342,342,0.007024187580539169,0.004120586771800951,1.6025677977326271
15,50,5,342,342,0.012268518767763888,0.004109890251647505,2.2177342181963895
15,50,10,342,341,0.009193108620580797,0.003996841736324976,1.877088326215317
15,50,15,342,342,0.008371613320063306,0.004077988453739819,1.7201783481071993
15,50,20,342,342,0.007272683493542582,0.004155496402637631,1.626404227881473
15,60,5,342,342,0.012520610721129987,0.0040955511182813875,2.256280504685721
15,60,10,342,342,0.009303449656901311,0.004033929482129921,1.910690983865934
15,60,15,342,342,0.00855292319733112,0.004157665318252186,1.7474902021495349
15,60,20,342,342,0.007568534796610376,0.004199044309654248,1.6483383700072025
15,70,5,342,342,0.012564475185063817,0.004116475970028894,2.2865420225513584
15,70,10,342,342,0.00950646495992281,0.0040589310638273314,1.9383164645388922
15,70,15,342,342,0.008736785055263416,0.00414435014985246,1.7691495553672683
15,70,20,342,342,0.007728596407667501,0.004267449703691095,1.6674083397887278
15,80,5,342,342,0.01260541236237756,0.004130787064196669,2.3123097371724026
15,80,10,342,342,0.009551088823672265,0.004065580394709255,1.9623161429998641
15,80,15,342,342,0.008747892652818286,0.004186260262081519,1.7881866281552998
15,80,20,342,342,0.0078109872350176895,0.004231530513332691,1.6840511906815663
30,10,5,327,327,0.01142632067050996,0.004059315805734608,1.940007312798167
30,10,10,327,327,0.00850732883451815,0.00409400576274788,1.679697658528076
30,10,15,327,327,0.007125018325294012,0.0042244124141644634,1.5693834382690854
30,10,20,327,326,0.006086831456085708,0.003969964644971306,1.497512104502512
30,20,5,327,327,0.01356762754606522,0.004168836892000243,2.193323994176726
30,20,10,327,327,0.010271277120340839,0.00409400576274788,1.860492099777366
30,20,15,327,327,0.008481049650827431,0.004320748656284987,1.706430136796046
30,20,20,327,327,0.006904060711725633,0.004156342971952589,1.5942183734798885
30,30,5,327,327,0.01446315718723903,0.004242197693451185,2.343681137370428
30,30,10,327,327,0.011177388393611576,0.004203062320162722,1.978714347365611
30,30,15,327,327,0.009198703972814783,0.004366563434992407,1.797203889620958
30,30,20,327,327,0.0077880651863302475,0.004269772824311032,1.6688974430638315
30,40,5,327,327,0.015045868894817273,0.004267124725399533,2.4487331128143017
30,40,10,327,327,0.012025782634661114,0.0042296049595164364,2.0693623625529893
30,40,15,327,327,0.009776934055393201,0.0044629382424072545,1.8688649681021936
30,40,20,327,327,0.00833893530178961,0.004363488664936053,1.7251742641056416
30,50,5,327,327,0.015334109160132331,0.0042618063190098645,2.523245903818217
30,50,10,327,327,0.012422693534264107,0.004223062111645694,2.138856433409944
30,50,15,327,327,0.010175706666858915,0.004576180421305068,1.9265472181298846
30,50,20,327,327,0.008802420553875475,0.004485124027428672,1.769820884208334
30,60,5,327,327,0.015470361010109138,0.004275156236048986,2.5784813478723803
30,60,10,327,327,0.012602114718323528,0.004273028691772618,2.19534469841133
30,60,15,327,327,0.010561344820627028,0.004652274607236936,1.9760868201654616
30,60,20,327,327,0.0091778939568273,0.0044624993547136005,1.8102930261221946
30,70,5,327,327,0.015882244677297673,0.00428465111556672,2.621383642769755
30,70,10,327,327,0.012887648044719726,0.004293404185701974,2.240212475096834
30,70,15,327,327,0.010845819663784877,0.004638714496089694,2.016525689430675
30,70,20,327,327,0.009444451984111368,0.004558949283275376,1.8450813280781109
30,80,5,327,327,0.015993608572507888,0.004279140772623712,2.6568160292019867
30,80,10,327,327,0.013039402197757918,0.004296592870400715,2.279605115255143
30,80,15,327,327,0.010959023754442885,0.004675739556939324,2.051102680388805
30,80,20,327,327,0.009586814102803296,0.00457044813791555,1.8754333667238385
45,10,5,312,312,0.011466132200009561,0.004059829279666071,2.0170395942573807
45,10,10,312,312,0.008880438787974851,0.004059829279666071,1.7117002952734013
45,10,15,312,312,0.007858815998968366,0.004242422394495757,1.577504915235179
45,10,20,312,312,0.006416419334554092,0.004142632335771505,1.4912368280733983
45,20,5,312,312,0.01370836480146733,0.0041300723480437364,2.3288299431098634
45,20,10,312,312,0.010493699308873894,0.004059829279666071,1.9388774871294563
45,20,15,312,312,0.009093316156762342,0.004286572173203179,1.7540674661015254
45,20,20,312,312,0.007383603976293928,0.004409367743152653,1.6219741634087939
45,30,5,312,312,0.014702248624337461,0.004185420298166645,2.5174339702239648
45,30,10,312,312,0.011569862282756548,0.004168885837080914,2.0883716295809074
45,30,15,312,312,0.00974264468826089,0.0043323869519105995,1.8731994442451207
45,30,20,312,312,0.008198084242489842,0.0045299374546602525,1.720290200716353
45,40,5,312,312,0.015336052172763836,0.004238464998289556,2.644224637377575
45,40,10,312,312,0.012277645567162062,0.004195428476434627,2.2043580466022368
45,40,15,312,312,0.010634768316890439,0.004428761759325446,1.968256872332207
45,40,20,312,312,0.008822313611926737,0.004566941143552571,1.7962521617921186
45,50,5,312,312,0.01583476094653162,0.004270078698363308,2.7371761206130065
45,50,10,312,312,0.012833070795128288,0.004188885628563885,2.2952404109486726
45,50,15,312,312,0.011043081700789643,0.0044469055777183126,2.043681871164478
45,50,20,312,312,0.009378763963473626,0.004582364278830653,1.8582149758605002
45,60,5,312,312,0.016320849773161165,0.004255739564997191,2.8052600844578417
45,60,10,312,312,0.013204541616970124,0.004238852208690809,2.3669426203430195
45,60,15,312,312,0.011550136786796443,0.004455123305357356,2.1075340112252117
45,60,20,312,312,0.009771138210170713,0.0046131024817477806,1.9110573723889233
45,70,5,312,312,0.01673701379977453,0.004276664416744698,2.8593811773659406
45,70,10,312,312,0.013497945584962272,0.004259227702620166,2.4232474766744927
45,70,15,312,312,0.011760301461880103,0.004439115007355332,2.1616189230627745
45,70,20,312,312,0.010124598065272123,0.004641908968213753,1.9585636181002875
45,80,5,312,312,0.017003948991373363,0.004290975510912474,2.9022484398958848
45,80,10,312,312,0.013691278693072975,0.004262416387318907,2.4739285689909325
45,80,15,312,312,0.01199449061549939,0.0044761400682049625,2.2074765520377855
45,80,20,312,312,0.010295220206627454,0.004664935029491798,1.9989577094739557
